1,1,2.4546666666666667E-5,ABMPAgent2@8,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
1,2,5.5324999999999996E-5,BayesianAgent@9,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 star hotel])
2,1,6.595333333333333E-5,ABMPAgent2@8,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
2,2,1.6230333333333336E-4,BayesianAgent@9,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: 5 star hotel])
3,1,1.7574500000000002E-4,ABMPAgent2@8,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
3,2,2.0452166666666668E-4,BayesianAgent@9,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 3 star hotel])
4,1,2.1468E-4,ABMPAgent2@8,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
4,2,2.3429833333333332E-4,BayesianAgent@9,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 5 star hotel])
5,1,2.4442833333333336E-4,ABMPAgent2@8,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
5,2,2.6423E-4,BayesianAgent@9,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: Hostel])
6,1,2.7555833333333334E-4,ABMPAgent2@8,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
6,2,2.9755E-4,BayesianAgent@9,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: 5 star hotel])
7,1,3.1248500000000004E-4,ABMPAgent2@8,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
7,2,3.357116666666667E-4,BayesianAgent@9,(Accept  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
agreement,Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel],1.0,0.5331290074670093
