1,1,0.0055248618784530384,ConcederNegotiationParty@0,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
1,2,0.0055248618784530384,Agent33@1,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 5 star hotel])
2,1,0.011049723756906077,ConcederNegotiationParty@0,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
2,2,0.011049723756906077,Agent33@1,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: Hostel])
3,1,0.016574585635359115,ConcederNegotiationParty@0,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
3,2,0.016574585635359115,Agent33@1,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: Hostel])
4,1,0.022099447513812154,ConcederNegotiationParty@0,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
4,2,0.022099447513812154,Agent33@1,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: Hostel])
5,1,0.027624309392265192,ConcederNegotiationParty@0,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
5,2,0.027624309392265192,Agent33@1,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 5 star hotel])
6,1,0.03314917127071823,ConcederNegotiationParty@0,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
6,2,0.03314917127071823,Agent33@1,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 5 star hotel])
7,1,0.03867403314917127,ConcederNegotiationParty@0,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
7,2,0.03867403314917127,Agent33@1,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 5 star hotel])
8,1,0.04419889502762431,ConcederNegotiationParty@0,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
8,2,0.04419889502762431,Agent33@1,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 5 star hotel])
9,1,0.049723756906077346,ConcederNegotiationParty@0,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
9,2,0.049723756906077346,Agent33@1,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 5 star hotel])
10,1,0.055248618784530384,ConcederNegotiationParty@0,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
10,2,0.055248618784530384,Agent33@1,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: Hostel])
11,1,0.06077348066298342,ConcederNegotiationParty@0,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
11,2,0.06077348066298342,Agent33@1,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 5 star hotel])
12,1,0.06629834254143646,ConcederNegotiationParty@0,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
12,2,0.06629834254143646,Agent33@1,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: 5 star hotel])
