1,1,0.01639344262295082,BoaPartyExample@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
1,2,0.01639344262295082,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@1,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
2,1,0.03278688524590164,BoaPartyExample@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
2,2,0.03278688524590164,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@1,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Plain, Music: MP3, Cleanup: Water and Soap])
3,1,0.04918032786885246,BoaPartyExample@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
3,2,0.04918032786885246,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@1,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: Band, Cleanup: Water and Soap])
4,1,0.06557377049180328,BoaPartyExample@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
4,2,0.06557377049180328,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@1,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
5,1,0.08196721311475409,BoaPartyExample@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
5,2,0.08196721311475409,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@1,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: DJ, Cleanup: Water and Soap])
6,1,0.09836065573770492,BoaPartyExample@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
